Date,Title,Attack_type,Industry,Actor,Motivation,Tactic,Technique,Technique_ID,Procedure,Source
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Execution,"Command and
Scripting Interpreter:
Unix Shell",T1059.004,"Cyclops Blink executes downloaded files
using the Linux API function execlp.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Persistence,"Boot or Logon
Initialization Scripts:
RC Scripts",T1037.004,"Cyclops Blink is executed on device
startup, using a modified S51armled RC
script.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Persistence,"Pre-OS Boot:
System Firmware",T1542.001,"Cyclops Blink maintains persistence
throughout the legitimate device firmware
update process. This is achieved by
patching the firmware when it is
downloaded to the device.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Defence Evasion,"Impair Defenses:
Disable or Modify
System Firewall",T1562.004,"Cyclops Blink modifies the Linux
iptables firewall to enable C2
communication via a stored list of port
numbers.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Defence Evasion,"Masquerading:
Match Legitimate
Name or Location",T1036.005,"Cyclops Blink renames its running
process to masquerade as a Linux kernel
thread.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Discovery,"System Information
Discovery",T1082,"Cyclops Blink regularly queries device
information.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Command And Control,"Data Encoding: Non-
Standard Encoding",T1132.002,"Cyclops Blink command messages use a
custom binary scheme to encode the
specific command to be executed, as well
as any command parameters required.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Command And Control,Fallback Channels,T1008,"Cyclops Blink randomly selects a C2
server from contained lists of IPv4
addresses and port numbers.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Command And Control,"Application Layer
Protocol: Web
Protocols",T1071.001,"Cyclops Blink can download files via
HTTP or HTTPS.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Command And Control,"Encrypted Channel:
Asymmetric
Cryptography",T1573.002,"Cyclops Blink C2 messages are
individually encrypted using AES-256-
CBC and sent underneath TLS.
OpenSSL library functions are used to
encrypt each message using a randomly
generated key and IV, which are then
encrypted using a hard-coded RSA
public key.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Command And Control,Non-Standard Port ,T1571,"Cyclops Blink contains a list of port
numbers used for C2 communication.
This list includes non-standard ports not
typically associated with HTTP or HTTPS
traffic.",Australia
23-Feb-22,Cyclops Blink,Malware,Small Office/Home Office (SOHO) network devices,Sandstorm,"Surveillance, Access, Infrastructure",Exfiltration,"Exfiltration Over C2
Channel",T1041,"Cyclops Blink is capable of uploading
files to a C2 server.",Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Execution,System Services,T1569,Infamous Chisel - netd replaces the legitimate netd.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Persistence (Mobile),Boot or Logon Initialization Scripts,T1398,Infamous Chisel - netd replaces the legitimate netd.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Persistence (Mobile),Hijack Execution Flow,T1625,Infamous Chisel - netd replaces the legitimate netd and is executed by init inheriting root privileges.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Privilege Escalation,Abuse Elevation Control Mechanism,T1626 (Mobile),Infamous Chisel - netd executes shell scripts as the root user of the device.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Defense Evasion,Impair Defenses,T1629 (Mobile),Infamous Chisel - netd checks that it is executed by init and at the path for the legitimate netd.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Defence Evasion,Obfuscated Files or Information,T1406 (Mobile),Infamous Chisel - blob decompresses executables from bzip archives.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Credential Access,Adversary-in-the-Middle,T1557,Infamous Chisel - mDNSResponder is deployed alongside this malware and could potentially be used for DNS poisoning.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Credential Access,Credentials from Password Store,T1634 (Mobile),Infamous Chisel - netd scrapes multiple files containing credentials and key information.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Credential Access,Network Sniffing,T1040,Infamous Chisel - tcpdump is deployed alongside this malware and has the ability to sniff network interfaces and monitor network traffic.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Discovery,File and Directory Discovery,T1420 (Mobile),Infamous Chisel - netd enumerates multiple data directories to discover files of interest.,Australia
