Date,Title,Attack Type,Industry,Actor,Motivation,Tactic,Technique,Technique ID,Procedure,Link,Quarter,Source
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Reconnaissance,Search Open Websites/Domains,T1593,Phobos actors perform open source research to find information about victims that can be used during targeting to create a victim profile.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q1 2024,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Reconnaissance,Scanning IP Blocks,T1595.001,Phobos actors used IP scanning tools to include Angry IP Scanner to search for vulnerable RDP ports.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2024,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Reconnaissance,Phishing for Information,T1598,Phobos actors use phishing campaigns to social engineer information from users and gain access to vulnerable RDP ports.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q1 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Resource Development,Establish Accounts,T1585,Phobos actors establish accounts to communicate.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q1 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Resource Development,Obtain Capabilities: Tool,T1588.002,Phobos actors used open source tools in their attack.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Initial Access,Valid Accounts,T1078,"Following successful RDP authentication, Phobos actors search for IP addresses and pair them with their associated computer to create a victim profile.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Initial Access,External Remote Services,T1133,Phobos actors may leverage external-facing remote services to initially access and/or persist within a network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Initial Access,Phishing: Spearphishing Attachment,T1566.001,Phobos actors used a spoofed email attachment to execute attack.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Windows Management Instrumentation,T1047,Phobos actors used Windows Management Instrumentation command-line utility (WMIC) to prevent victims from recovering files.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q3 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Windows Command Shell,T1059.003,Phobos actors can use the previous commands to perform commands with windows shell functions.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q3 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Native API,T1106,Phobos actors used open source tools to enumerate the active directory.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q3 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Malicious File,T1204.002,Phobos actors attached a malicious email attachment to deliver ransomware.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q4 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Persistence,Registry Run Keys / Startup Folder,T1547.001,Phobos ransomware operates using the Exec.exe control mechanism and has been observed using Windows Startup folders and Run Registry Keys.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q4 2023,USA
29-Feb-24,Dummy Ransomware,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Privilege Escalation,Privilege Escalation,TA0004,"Phobos actors use run commands like 1saas.exe, or cmd.exe to deploy additional Phobos payloads with escalated privileges.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q4 2024,USA
29-Feb-24,Dummy 2,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Reconnaissance,Search Open Websites/Domains,T1593,Phobos actors perform open source research to find information about victims that can be used during targeting to create a victim profile.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q1 2024,Australia
29-Feb-24,Dummy 3,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Reconnaissance,Scanning IP Blocks,T1595.001,Phobos actors used IP scanning tools to include Angry IP Scanner to search for vulnerable RDP ports.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2024,Australia
29-Feb-24,Dummy 4,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Reconnaissance,Phishing for Information,T1598,Phobos actors use phishing campaigns to social engineer information from users and gain access to vulnerable RDP ports.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q1 2023,Australia
29-Feb-24,Dummy 5,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Resource Development,Establish Accounts,T1585,Phobos actors establish accounts to communicate.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q1 2023,Australia
29-Feb-24,Dummy 6,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Resource Development,Obtain Capabilities: Tool,T1588.002,Phobos actors used open source tools in their attack.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,Australia
29-Feb-24,Dummy 7,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Initial Access,Valid Accounts,T1078,"Following successful RDP authentication, Phobos actors search for IP addresses and pair them with their associated computer to create a victim profile.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,Australia
29-Feb-24,Dummy 8,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Initial Access,External Remote Services,T1133,Phobos actors may leverage external-facing remote services to initially access and/or persist within a network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,Canada
29-Feb-24,Dummy 9,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Initial Access,Phishing: Spearphishing Attachment,T1566.001,Phobos actors used a spoofed email attachment to execute attack.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q2 2023,Canada
29-Feb-24,Dummy 10,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Windows Management Instrumentation,T1047,Phobos actors used Windows Management Instrumentation command-line utility (WMIC) to prevent victims from recovering files.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q3 2023,Canada
29-Feb-24,Dummy 11,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Windows Command Shell,T1059.003,Phobos actors can use the previous commands to perform commands with windows shell functions.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q3 2023,Canada
29-Feb-24,Dummy 12,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Native API,T1106,Phobos actors used open source tools to enumerate the active directory.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q3 2023,Canada
29-Feb-24,Dummy 13,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Execution,Malicious File,T1204.002,Phobos actors attached a malicious email attachment to deliver ransomware.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q4 2023,Canada
29-Feb-24,Dummy 14,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Persistence,Registry Run Keys / Startup Folder,T1547.001,Phobos ransomware operates using the Exec.exe control mechanism and has been observed using Windows Startup folders and Run Registry Keys.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q4 2023,Canada
29-Feb-24,Dummy 15,Ransomware,"Varied; includes municipal and county governments, emergency services, education, public healthcare, and other critical infrastructure entities",Phobos actors,Financial gain through ransom demands,Privilege Escalation,Privilege Escalation,TA0004,"Phobos actors use run commands like 1saas.exe, or cmd.exe to deploy additional Phobos payloads with escalated privileges.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,Q4 2024,Canada
