Date,Title,Attack Type,Industry,Actor,Motivation,Tactic,Technique,Technique ID,Procedure,Link,Quarter,Source
26-Feb-24,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,Espionage,Not Specified,SVR,Not Specified,Credential Access,Brute Force,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Q1 2023,USA
26-Feb-24,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,Espionage,Not Specified,SVR,Not Specified,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,"The SVR use compromised credentials to gain access to accounts for cloud services, including system and dormant accounts.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Q3 2023,USA
26-Feb-24,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,Espionage,Not Specified,SVR,Not Specified,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Q3 2023,USA
26-Feb-24,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,Espionage,Not Specified,SVR,Not Specified,Credential Access,Multi-Factor Authentication Request Generation,T1621,"The SVR repeatedly push MFA requests to a victim’s device until the victim accepts the notification, providing SVR access to the account.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Q3 2023,USA
26-Feb-24,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,Espionage,Not Specified,SVR,Not Specified,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Q3 2023,USA
26-Feb-24,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,Espionage,Not Specified,SVR,Not Specified,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Q3 2023,USA
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Reconnaissance,Gather Victim Identity Information: Credentials,T1589.001,The actor likely gathered USER1 account credentials in a data breach where account information appeared in publicly available channels.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Initial Access,Valid Accounts: Domain Accounts,T1078.002,The actor gained initial access through the compromised account of a former employee with administrative privileges (USER1). The employee’s account was not immediately disabled after their departure.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Persistence,External Remote Services,T1133,The actor connected a VM via the victim’s VPN to blend in with legitimate traffic to evade detection.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Privilege Escalation,Valid Accounts: Domain Accounts,T1078.002,The actor authenticated to multiple services from a compromised Global Domain Administrator account (USER2). The actor also authenticated to the Common Internet File Service (CIFS) on various endpoints.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Privilege Escalation,Valid Accounts: Cloud Accounts,T1078.004,"The actor used a compromised account (USER2) which was synced to both the on-premises AD and Azure AD, thus enabling administrative privileges to both the on-premises network and Azure tenant.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Credential Access,Unsecured Credentials: Credentials in Files,T1552.001,The actor likely obtained USER2 account credentials from the virtualized SharePoint server where they were locally stored.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain, Discovery,Account Discovery: Domain Account,T1087.002,"Through the VM connection, the actor executed LDAP queries of the AD.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain, Discovery,Remote System Discovery,T1018,"Through the VM connection, the actor executed LDAP queries to collect user and host information.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain, Discovery,Domain Trust Discovery,T1482,"Through the VM connection, the actor executed LDAP queries to collect trust relationship information.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain, Discovery,File and Directory Discovery,T1083,"The actor authenticated to the CIFS on various endpoints likely for the purpose of file, folder, and directory discovery.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain, Discovery,Network Service Discovery,T1046,"The actor used the compromised USER1 account to authenticate to four services, presumably for the purpose of network and service discovery.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Lateral Movement,Remote Services,T1021,The actor connected from an unknown VM and authenticated to multiple services via the USER1 account.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Lateral Movement,Remote Services: Cloud Services,T1021.007,"The actor used the USER2 account, which granted access to the Azure AD, as well as the on-premises AD.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Lateral Movement,Remote Services: SMB/Windows Admin Shares,T1021.002,The actor used compromised accounts to interact with a remote network share using Server Message Block.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q3 2023,Canada
15-Feb-24,Threat Actor Leverages Compromised Account of Former Employee to Access State Government Organization,Not Specified,State Government,Not Specified ,Financial gain,Collection,Data from Information Repositories: SharePoint,T1213.002,The actor likely obtained the USER2 account credentials from the virtualized SharePoint server managed by USER1.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,Q2 2023,Canada
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Reconnaissance,Active Scanning: Vulnerability Scanning,T1595.002,The threat actor scans websites for specific vulnerabilities to exploit.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-038a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Resource Development,Acquire Infrastructure: Botnet,T1583.005,The threat actor establishes a botnet to identify and exploit victims.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Resource Development,Acquire Infrastructure: Web Services,T1583.006,The threat actor creates new AWS instances to use for scanning.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Initial Access,Exploit Public-Facing Application,T1190,The threat actor exploits CVE-2017-9841 to remotely run hypertext preprocessor (PHP) code on websites via PHPUnit.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Execution,Command and Scripting Interpreter: Python,T1059.006,"The threat actor uses Androxgh0st, a Python-scripted malware, to target victim files.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Persistence,Valid Accounts,T1078,The threat actor abuses the simple mail transfer protocol (SMTP) by exploiting exposed credentials.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Persistence,Server Software Component: Web Shell,T1505.003,The threat actor deploys web shells to maintain persistent access to systems.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Persistence,Create Account,T1136,The threat actor attempts to create new users and user policies with compromised AWS credentials from a vulnerable website.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Defense Evasion,Obfuscated Files or Information: Command Obfuscation,T1027.010,"The threat actor can exploit a successfully identified Laravel application key to encrypt PHP code, which is then passed to the site as a value in the XSRF-TOKEN cookie.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Credential Access,Credential Access,TA0006,The threat actor can access the application key of the Laravel application on the site.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Credential Access,Unsecured Credentials: Credentials in Files,T1552.001,The threat actor targets .env files that contain confidential credential information.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Discovery,File and Directory Discovery,T1083,The threat actor can identify URLs for files outside root directory through a path traversal attack.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Discovery,Network Service Discovery,T1046,The threat actor uses Androxgh0st to abuse simple mail transfer protocol (SMTP) via scanning.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.", Collection,Email Collection,T1114,The threat actor interacts with application programming interfaces (APIs) to gather information.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
16-Jan-24,Known Indicators of Compromise Associated with Androxgh0st Malware,Malware,Not Specified,Androxgh0st malware,"The primary motivation appears to be to establish botnets that can identify and compromise vulnerable networks, likely for information theft, credential access, and possibly further malicious activities.",Command and Control,Ingress Tool Transfer,T1105,The threat actor runs PHP code through a POST request to download malicious files to the system hosting the website.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-016a,Q2 2023,Australia
19-Dec-23,#StopRansomware: ALPHV Blackcat,Ransomware as a Service (RaaS),healthcare sector,ALPHV Blackcat ransomware threat actors,"Likely financial, due to ransom demands after data encryption and extortion.",,,,,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-353a,Q2 2023,USA
19-Dec-23,#StopRansomware: ALPHV Blackcat,Ransomware as a Service (RaaS),healthcare sector,ALPHV Blackcat ransomware threat actors,"Likely financial, due to ransom demands after data encryption and extortion.",Reconnaissance,Phishing for Information,T1598,ALPHV Blackcat affiliates pose as company IT and/or helpdesk staff using phone calls or SMS messages to obtain credentials from employees to access the target network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-353a,Q2 2023,USA
19-Dec-23,#StopRansomware: ALPHV Blackcat,Ransomware as a Service (RaaS),healthcare sector,ALPHV Blackcat ransomware threat actors,"Likely financial, due to ransom demands after data encryption and extortion.",Resource Development,Compromise Accounts,T1586,ALPHV Blackcat affiliates use compromised accounts to gain access to victims’ networks.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-353a,Q1 2023,USA
19-Dec-23,#StopRansomware: ALPHV Blackcat,Ransomware as a Service (RaaS),healthcare sector,ALPHV Blackcat ransomware threat actors,"Likely financial, due to ransom demands after data encryption and extortion.",Credential Access,Obtain Credentials from Passwords Stores,T1555,"ALPHV Blackcat affiliates obtain passwords from local networks, deleted servers, and domain controllers.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-353a,Q1 2023,USA
19-Dec-23,#StopRansomware: ALPHV Blackcat,Ransomware as a Service (RaaS),healthcare sector,ALPHV Blackcat ransomware threat actors,"Likely financial, due to ransom demands after data encryption and extortion.",Credential Access,Steal or Force Kerberos Tickets,T1558,ALPHV Blackcat/ALPHV affiliates use Kerberos token generation for domain access.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-353a,Q1 2023,USA
19-Dec-23,#StopRansomware: ALPHV Blackcat,Ransomware as a Service (RaaS),healthcare sector,ALPHV Blackcat ransomware threat actors,"Likely financial, due to ransom demands after data encryption and extortion.",Credential Access,Adversary-in-the-Middle,T1557,"ALPHV Blackcat/ALPHV affiliates use the open-source framework Evilginx2 to obtain MFA credentials, login credentials, and session cookies for targeted networks.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-353a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods, Initial Access,Valid Accounts,T1078,Play ransomware actors obtain and abuse existing account credentials to gain initial access.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods, Initial Access,Exploit Public Facing Application,T1190,Play ransomware actors exploit vulnerabilities in internet-facing systems to gain access to networks.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods, Initial Access,External Remote Services,T1133,"Play ransomware actors have used remote access services, such as RDP/VPN connection to gain initial access.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Discovery,System Network Configuration Discovery,T1016,Play ransomware actors use tools like Grixba to identify network configurations and settings.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
